tweet,skor
tidak,-1
hapus tidak,0
tidak jangan,-1
dapat tambah,0
ya iya,0
dapat gratis,0
pulang telah rumah sakit,0
buka lowong jurus jaring,0
jauh,0
tunggu,0
tidak masuk,0
mau,0
naik untung tuju sama,1
kereta ibu jalan ya,0
arti soal,0
tinggal,0
selamat bantu,0
pulang telah rumah sakit,0
tidak mau bungkus,-1
terima usaha laku tipu atas,0
lemes takut,-1
mau bawa pasti naik jadi bawa,1
iya tidak masalah isu baru,-1
ya sama,0
mau atas,0
pisah naik naik,1
tutup sama biasa,0
laku ya,0
ikut,0
sama tidak,0
baju belakang mau ikut ya kaya,0
order masuk masuk,0
naik kerja bilang nikah,1
panjang,1
masalah order ya gin,-1
mahal,-1
pose curiga ganteng,0
kalah,0
alami hubung masih,0
malam sama pulang jatuh ya mas bisa,0
waktu,0
bisa,0
buka lowong jurus jaring,0
kampret mahal,-1
kasus kaya perkasa lawan lain,0
duit senin,0
bilang tipu ya gojek bilang,0
mati kali diam heran,-1
resi ubah guna,1
ya helm sedikit soal iya tidak,0
mamak heboh sen tiga depan,0
ya pindah pelit jadi,0
luk,0
jalan kendara bilang henti ya,0
tau tidak makan,0
luk,0
buat,0
tunggu,0
mahal,-1
jadi ingat kerja,1
selamat bantu,0
situ ya jawab jadi,0
abis jauh mau naik berat,0
leceh seksual bisa pecat,0
ajak tidur dadak,0
hebat pencet,0
simpul bisa ambil,1
selamat bantu,0
naik,1
galau lepas terima harus,0
tipu aku minta,0
dapat tambah,0
lucu tidak naik lelah jalan,0
masalah order ya gin,-1
wajib baca modus tipu hadap,0
nyata benar,0
buka tinggal dapat turun,0
terima usaha laku tipu atas,0
bisa libat,0
mahal enteng,-1
kasi tilang tidak,0
ya helm sedikit soal iya tidak,0
kerja sama,1
situ ya jawab jadi,0
buka lowong jurus jaring,0
jauh tau harus naik,0
oke naik,1
baru,1
bawah,0
suka,0
takut telat jadi naik,1
saat masih banyak jalan sama,0
gitu,0
naik tinggal,0
ya pindah pelit jadi,0
tidak bisa masuk akun akun solusi,0
ya baik tumpang,1
selamat bantu,0
harga naik naik,1
ya arti nan,0
saran baik guna terima,1
mahal antara tidak,-1
lebih harus,0
pasti lengkap sama harus bisa usut,1
buka lowong jurus jaring,0
order hilang potong,0
ganjil bilang sama,0
laku tarik masuk,0
bukan main masih dapat arti masih kurang akun,0
mau tidak mau bubar,-1
dapat telah daftar hilang,0
bilang dalam,0
buat,0
mau habis nanti setor ya,0
bukan main masih dapat arti masih kurang akun,0
gojek mau teman panggil lama,0
mau habis nanti setor ya,0
ganti sama ganti,0
resi ubah guna,1
ingin rubah akun lupa,0
tidak tindak kait rajalela,-1
tidak benar,0
mau habis nanti setor ya,0
cerita galau langgan kasih,1
gojek mau teman panggil lama,0
bisa cari baru,1
buat,0
pasti lengkap sama harus bisa usut,1
tampil gin ya gimana,-1
kurang sama kaya,0
ya tidak bisa pakai akun,0
telpon kata bisa,1
mati kali diam heran,-1
bisa atur harga,1
mau keluh sikap tidak pantas segera,0
suka tunda antar tulis beda sama,0
tidak jemput potong,0
selamat tidak bisa laku mesan ya,0
terima usaha laku tipu atas,0
tidak tindak kait rajalela,-1
terima usaha laku tipu atas,0
pasti lengkap sama harus bisa usut,1
telpon kata bisa,1
tipu aku minta,0
baru,1
ya tidak bisa telah muncul,0
lebih harus,0
layan pasti buruk laku tidak masuk,-1
buka,0
suka duka jangan lupa ya,-1
bom buka wilayah mudah,0
aku mau kasih,1
bisa atur,1
kasih kirim telah curiga,0
mau istirahat,0
tipu aku minta,0
boneka besar naik,1
mesan tidak status,-1
kawan tau laki selingkuh isi,0
dapat undang atas lanjut daftar hadap,0
cerai,0
bingung sama kalo bukan pasti,-1
mati kali diam heran,-1
tidak bisa kirim,0
hapus akun,0
buka lowong jurus jaring,0
satu,0
cerita galau langgan kasih,1
dapat tambah,0
jadi naik mantap jeket,1
tidak bisa,0
tidak bisa masuk akun akun solusi,0
bisa jadi masih,0
keren tau cara harga kerja keras kerja selamat,1
kurang sama kaya,0
mahal langgan pindah,-1
mahal langgan pindah,-1
akun verifikasi syarat benar,0
pinggir gagu tidak masuk,0
ya,0
selamat pilih tidak ngeri,0
pantas kalah banyak banding tarif bisa murah,0
buat,0
bisa jadi masih,0
dapat nyata tidak,-1
pinggir gagu tidak masuk,0
lebih harus,0
mau keluh sikap tidak pantas segera,0
hapus akun,0
pesan mendung mau,0
tipu aku minta,0
bilang dalam,0
ambil saran jangan,-1
resi ubah guna,1
akun blokir buka,0
harga naik naik,1
ingin rubah akun lupa,0
bisa atur harga,1
butuh gimana,0
bantu pinggir jalan jaga tertib,0
kurang sama kaya,0
baru harga makin mahal ya rasa,0
aku mau kasih,1
tiap jasa,0
mau sen bisa,0
buat,0
dapat tambah,0
pinggir gagu tidak masuk,0
langsung tidak tanggap akhir ya,0
buka lowong jurus jaring,0
tiap mau sen harga tinggi,0
pinggir,0
bantu pinggir jalan jaga tertib,0
jadi sedang tempat tutup,0
rusuh begitu,0
naik sama,0
keren,0
akun tidak lapor,0
ya tidak barang,-1
tampil baru segar layan favorit mudah,-1
selamat tidak bisa laku mesan ya,0
kira kira mau bisa tidak,0
ya tidak barang,-1
mau kait akun tidak bisa guna layan,0
satu,0
gojek mau teman panggil lama,0
mau tidak mau bubar,-1
bisa cari baru,1
tidak tindak kait rajalela,-1
mahal langgan pindah,-1
mahal antara tidak,-1
teman daftar akun guna bantu hapus,0
mahal,-1
jemput,0
suka tunda antar tulis beda sama,0
cek,0
